일련번호,관리번호,공원명,공원유형,시설명,소재지도로명주소,군구명,소재지지번주소,위도,경도,공원면적,주민운동시설,유희시설,편의시설,교양시설,기타시설,고시일,관리기관명,전화번호,X좌표,Y좌표,출처,비고
1,28170-00001,수봉공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 660-241,미추홀구,인천광역시 미추홀구 수봉북로 47,37.4600454,126.6641289,332694,"배드민턴장,농구장,궁도장,양궁장","조합놀이대,흔들놀이기구","도서관,매점,화장실",자연학습원,"현충탑,전망대,인공폭포",1944-01-08,인천광역시 미추홀구청,032-880-4504,170206.5857,540317.1644,인천광역시 미추홀구청,
2,28170-00002,석바위공원,근린공원,게이트볼장,인천광역시 미추홀구 주안동 1578,미추홀구,인천광역시 미추홀구 구월남로 38,37.453979,126.693932,47005,"게이트볼장,배드민턴장","조합놀이대,흔들놀이기구","도서관,노인정,화장실",,,1944-01-08,인천광역시 미추홀구청,032-880-4504,172916.3256,539407.031,인천광역시 미추홀구청,
3,28170-00002,석바위공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 1578,미추홀구,인천광역시 미추홀구 구월남로 38,37.453979,126.693932,47005,"게이트볼장,배드민턴장","조합놀이대,흔들놀이기구","도서관,노인정,화장실",,,1944-01-08,인천광역시 미추홀구청,032-880-4504,172954.8935,539416.2348,인천광역시 미추홀구청,
4,28170-00003,미추홀공원,근린공원,게이트볼장,인천광역시 미추홀구 주안동 824,미추홀구,인천광역시 미추홀구 학익소로13번길 46,37.446177,126.670551,38950,"게이트볼장,배드민턴장","조합놀이대,흔들놀이기구","주차장,화장실",,분수대,1944-01-08,인천광역시 미추홀구청,032-880-4504,170851.4628,538411.8183,인천광역시 미추홀구청,
5,28170-00003,미추홀공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 824,미추홀구,인천광역시 미추홀구 학익소로13번길 46,37.446177,126.670551,38950,"게이트볼장,배드민턴장","조합놀이대,흔들놀이기구","주차장,화장실",,분수대,1944-01-08,인천광역시 미추홀구청,032-880-4504,170802.6647,538641.0829,인천광역시 미추홀구청,
6,28170-00008,용정공원,근린공원,배드민턴장,인천광역시 미추홀구 용현동 615-1,미추홀구,인천광역시 미추홀구 낙섬동로 68-26,37.449962,126.641642,29552,"배드민턴장,농구장",,화장실,야생초화원,인공폭포,2002-05-09,인천광역시 미추홀구청,032-880-4504,168342.2755,539083.5789,인천광역시 미추홀구청,
7,28170-00008,용정공원,근린공원,농구장,인천광역시 미추홀구 용현동 615-1,미추홀구,인천광역시 미추홀구 낙섬동로 68-26,37.449962,126.641642,29552,"배드민턴장,농구장",,화장실,야생초화원,인공폭포,2002-05-09,인천광역시 미추홀구청,032-880-4504,168338.4945,539129.5722,인천광역시 미추홀구청,
8,28170-00043,재넘이공원,어린이공원,농구장,인천광역시 미추홀구 학익동 336-5,미추홀구,인천광역시 미추홀구 학익동336-5,37.447261,126.660626,12069,농구장,"조합놀이대,흔들놀이기구,그네",,,,1944-01-08,인천광역시 미추홀구청,032-880-4504,169959.6439,538718.8041,인천광역시 미추홀구청,
9,28170-00064,도천공원,어린이공원,농구장,인천광역시 미추홀구 문학동 351-1,미추홀구,인천광역시 미추홀구 문학동351-1,37.438873,126.678271,1800,농구장,"조합놀이대,흔들놀이기구,그네",,,,1990-04-30,인천광역시 미추홀구청,032-880-4504,171514.6753,537779.4976,인천광역시 미추홀구청,
10,28170-00065,삼호공원,어린이공원,농구장,인천광역시 미추홀구 문학동 360,미추홀구,인천광역시 미추홀구 문학동360,37.437982,126.680301,3933,농구장,"조합놀이대,흔들놀이기구,그네",,,,1990-04-30,인천광역시 미추홀구청,032-880-4504,171693.1809,537652.996,인천광역시 미추홀구청,
11,28170-00084,도담어린이공원,어린이공원,농구장,인천광역시 미추홀구 용현동 604-1,미추홀구,인천광역시 미추홀구 독배로 319,37.4470025,126.6436748,4578,농구장,조합놀이대,화장실,,,2012-01-25,인천광역시 미추홀구청,032-880-4504,168430.5131,538682.3691,인천광역시 미추홀구청,
12,28170-00001,수봉공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 660-241,미추홀구,인천광역시 미추홀구 수봉북로 47,37.4600454,126.6641289,332694,"배드민턴장,농구장,궁도장,양궁장","조합놀이대,흔들놀이기구","도서관,매점,화장실",자연학습원,"현충탑,전망대,인공폭포",1944-01-08,인천광역시 미추홀구청,032-880-4504,170197.4196,540199.0693,인천광역시 미추홀구청,
13,28170-00001,수봉공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 660-241,미추홀구,인천광역시 미추홀구 수봉북로 47,37.4600454,126.6641289,332694,"배드민턴장,농구장,궁도장,양궁장","조합놀이대,흔들놀이기구","도서관,매점,화장실",자연학습원,"현충탑,전망대,인공폭포",1944-01-08,인천광역시 미추홀구청,032-880-4504,170307.4099,540021.4715,인천광역시 미추홀구청,
14,28170-00002,석바위공원,근린공원,배드민턴장,인천광역시 미추홀구 주안동 1578,미추홀구,인천광역시 미추홀구 구월남로 38,37.453979,126.693932,47005,"게이트볼장,배드민턴장","조합놀이대,흔들놀이기구","도서관,노인정,화장실",,,1944-01-08,인천광역시 미추홀구청,032-880-4504,172885.2895,539564.6152,인천광역시 미추홀구청,
15,28170-00009,제2용정공원,근린공원,풋살장,인천광역시 미추홀구 용현동 294-5,미추홀구,인천광역시 미추홀구 용정공원로28,37.450413,126.644408,29246,풋살장,,,,,2010-05-31,인천광역시 미추홀구청,032-880-4504,168407.1989,539125.7285,인천광역시 미추홀구청,족구장->풋살장 변경
16,28140-00010,화수13공원,어린이공원,야외운동기구,인천광역시 동구 송화로 42번길,동구,인천광역시 동구 화평동 1-5번지,37.480399,126.633242,262,"트리플트위스트,스텝사이클","조합놀이대,모래놀이터",,,의자,1998-07-20,인천광역시 동구청,032-770-6205,167555.2777,542401.346,인천광역시 동구청,
17,28140-00011,창영공원,어린이공원,야외운동기구,인천광역시 동구 우각로 26,동구,인천광역시 동구 창영동 21-15번지,37.470735,126.639082,1019.8,"허리돌리기,마라톤운동,몸통돌리기","조합놀이대,흔들놀이",음수대,,"파고라,의자,앉음벽",1999-08-02,인천광역시 동구청,032-770-6205,168080.5932,541322.8685,인천광역시 동구청,
18,28140-00028,괭이부리소공원,소공원,야외운동기구,인천광역시 동구 화도진로 186,동구,인천광역시 동구 만석동 7-16번지,37.485564,126.623328,365.1,"전신하늘걷기,다리쭉뻗치기",,,,의자,2013-03-04,인천광역시 동구청,032-770-6205,166701.0738,542966.8903,인천광역시 동구청,
19,28140-00002,화도진공원,근린공원,야외운동기구,인천광역시 동구 화도진로 114,동구,인천광역시 동구 화수동 140-1번지,37.482105,126.6287902,20667,"윗몸일으키기,온몸들어올리기+온몸역기내리기,싸이드파도타기+전신싸이클,양팔줄당기기,롤링웨이스트,등허리지압기,트윈워밍암,트윈트위스트×2,하늘걷기,온몸노젓기,스텝싸이클,하체근육운동",,"주차장,화장실,음수대,공중전화","병영11동,유물전시관,한미수교기념비,아포전시장","관리사무실,벽천분수,앉음벽,국기게양대",1986-09-29,인천광역시 동구청,032-770-6202,167178.9988,542750.8641,인천광역시 동구청,
20,28140-00004,돌산공원,어린이공원,농구장,인천광역시 동구 샛골로 230,동구,인천광역시 동구 송현동 1-173번지,37.482371,126.642195,8111,"농구장,다리말아올리기,몸체말아올리기,윗몸일으키기,허리돌리기,역기대,의자겸팔굽혀펴기","조합놀이대,모래놀이터,시소,그네,흔들놀이",음수대,,"파고라,정자,앉음벽,의자,평데크",1994-03-26,인천광역시 동구청,032-770-6205,168348.6786,542607.7472,인천광역시 동구청,
21,28140-00004,돌산공원,어린이공원,야외운동기구,인천광역시 동구 샛골로 230,동구,인천광역시 동구 송현동 1-173번지,37.482371,126.642195,8111,"농구장,다리말아올리기,몸체말아올리기,윗몸일으키기,허리돌리기,역기대,의자겸팔굽혀펴기","조합놀이대,모래놀이터,시소,그네,흔들놀이",음수대,,"파고라,정자,앉음벽,의자,평데크",1994-03-26,인천광역시 동구청,032-770-6205,168349.8827,542620.2464,인천광역시 동구청,
22,28140-00005,송현공원,근린공원,야외운동기구,인천광역시 동구 솔빛로 51,동구,인천광역시 동구 송현동 163번지,37.477194,126.639101,72491,"트윈트위스트,트윈바디싵업,체어웨이트,풀웨이트,체어플,스텝사이클,트렁크웨이트,레그스트레치,터닝트위스트,트윈워밍암,레그프레스,워밍암,크로스컨트리,롤링웨이스트,앙팔줄당기기,핸들웨이트,버티컬벤치,스트레칭로라","조합놀이대,그네,시소,매달려건너기,놀이집","주차장,화장실,음수대","달동네박물관,숲속도서관","관리사무실,분수,인공폭포,생태연못,물놀이터또랑",1994-11-07,인천광역시 동구청,032-770-6204,168145.9385,542081.7646,인천광역시 동구청,
23,28140-00006,수문통공원,어린이공원,야외운동기구,인천광역시 동구 송현로 50,동구,인천광역시 동구 송현동 60번지,37.480109,126.6370402,634,"복합형운동기구,온몸노젓기","조합놀이대,자가발전흔들놀이(고래,호랑이)",음수대,,"조형파고라,의자",1996-04-01,인천광역시 동구청,032-770-6205,167796.6194,542356.2398,인천광역시 동구청,
24,28140-00007,만석공원,어린이공원,야외운동기구,인천광역시 동구 제물량로 341,동구,인천광역시 동구 만석동 43-14번지,37.483217,126.619546,4404.4,"플웨이트,스텝사이클,크라임스템퍼","조합놀이대,그네","화장실,음수대",,"풋살경기장,파고라,의자,연식의자",1996-12-05,인천광역시 동구청,032-770-6205,166342.8839,542725.7316,인천광역시 동구청,
25,28140-00005,송현공원,근린공원,인라인스케이트장,인천광역시 동구 솔빛로 51,동구,인천광역시 동구 송현동 163번지,37.477194,126.639101,72491,"트윈트위스트,트윈바디싵업,체어웨이트,풀웨이트,체어플,스텝사이클,트렁크웨이트,레그스트레치,터닝트위스트,트윈워밍암,레그프레스,워밍암,크로스컨트리,롤링웨이스트,앙팔줄당기기,핸들웨이트,버티컬벤치,스트레칭로라,인라인스케이트장,족구장,다목적구장","조합놀이대,그네,시소,매달려건너기,놀이집","주차장,화장실,음수대","달동네박물관,숲속도서관","관리사무실,분수,인공폭포,생태연못,물놀이터또랑",1994-11-07,인천광역시 동구청,032-770-6204,168211.4707,542301.4247,인천광역시 동구청,"인라인스케이트장,족구장,다목적구장 추가"
26,28140-00005,송현공원,근린공원,족구장,인천광역시 동구 솔빛로 51,동구,인천광역시 동구 송현동 163번지,37.477194,126.639101,72491,"트윈트위스트,트윈바디싵업,체어웨이트,풀웨이트,체어플,스텝사이클,트렁크웨이트,레그스트레치,터닝트위스트,트윈워밍암,레그프레스,워밍암,크로스컨트리,롤링웨이스트,앙팔줄당기기,핸들웨이트,버티컬벤치,스트레칭로라,인라인스케이트장,족구장,다목적구장","조합놀이대,그네,시소,매달려건너기,놀이집","주차장,화장실,음수대","달동네박물관,숲속도서관","관리사무실,분수,인공폭포,생태연못,물놀이터또랑",1994-11-07,인천광역시 동구청,032-770-6204,168153.1004,542258.2369,인천광역시 동구청,"인라인스케이트장,족구장,다목적구장 추가"
27,28140-00005,송현공원,근린공원,다목적구장,인천광역시 동구 솔빛로 51,동구,인천광역시 동구 송현동 163번지,37.477194,126.639101,72491,"트윈트위스트,트윈바디싵업,체어웨이트,풀웨이트,체어플,스텝사이클,트렁크웨이트,레그스트레치,터닝트위스트,트윈워밍암,레그프레스,워밍암,크로스컨트리,롤링웨이스트,앙팔줄당기기,핸들웨이트,버티컬벤치,스트레칭로라,인라인스케이트장,족구장,다목적구장","조합놀이대,그네,시소,매달려건너기,놀이집","주차장,화장실,음수대","달동네박물관,숲속도서관","관리사무실,분수,인공폭포,생태연못,물놀이터또랑",1994-11-07,인천광역시 동구청,032-770-6204,168218.9337,542159.5573,인천광역시 동구청,"인라인스케이트장,족구장,다목적구장 추가"
28,28710-00011,강화산단체육공원,체육공원,야외운동기구,인천광역시 강화군 강화읍 연미정길 204,강화군,인천광역시 강화군 강화읍 월곳리 614,37.455295,126.294324,10000,"야외운동기구8개,농구대1면,배드민턴장2면,족구장1면",,"파고라4개,등의자24개,평의자18개,화장실1동,음수전1개",야외무대1개,자전거보관대1개,2012-08-03,인천광역시 강화군청,032-930-3227,155648.7581,573895.4821,인천광역시 강화군청,
29,28710-00011,강화산단체육공원,체육공원,농구장,인천광역시 강화군 강화읍 연미정길 204,강화군,인천광역시 강화군 강화읍 월곳리 614,37.455295,126.294324,10000,"야외운동기구8개,농구대1면,배드민턴장2면,족구장1면",,"파고라4개,등의자24개,평의자18개,화장실1동,음수전1개",야외무대1개,자전거보관대1개,2012-08-03,인천광역시 강화군청,032-930-3227,155628.0127,573894.5244,인천광역시 강화군청,
30,28710-00011,강화산단체육공원,체육공원,배드민턴장,인천광역시 강화군 강화읍 연미정길 204,강화군,인천광역시 강화군 강화읍 월곳리 614,37.455295,126.294324,10000,"야외운동기구8개,농구대1면,배드민턴장2면,족구장1면",,"파고라4개,등의자24개,평의자18개,화장실1동,음수전1개",야외무대1개,자전거보관대1개,2012-08-03,인천광역시 강화군청,032-930-3227,155604.9416,573892.9188,인천광역시 강화군청,
31,28710-00011,강화산단체육공원,체육공원,족구장,인천광역시 강화군 강화읍 연미정길 204,강화군,인천광역시 강화군 강화읍 월곳리 614,37.455295,126.294324,10000,"야외운동기구8개,농구대1면,배드민턴장2면,족구장1면",,"파고라4개,등의자24개,평의자18개,화장실1동,음수전1개",야외무대1개,자전거보관대1개,2012-08-03,인천광역시 강화군청,032-930-3227,155559.0668,573879.3341,인천광역시 강화군청,
32,28260-00001,검암근린공원,근린공원,국궁장,,서구,인천광역시 서구 검암동 산77-2 일원,37.5597687,126.6795516,17067,국궁장,,주차장,,,1966-08-31,인천광역시 서구청,032-560-4800,171700.2293,551243.2155,인천광역시 서구청,
33,28260-00002,원신공원,근린공원,게이트볼장,,서구,인천광역시 서구 신현동 산33일원,37.5154788,126.6631365,57685,"게이트볼장,테니스장,농구장","조합놀이대,회전놀이","주차장,화장실",,수경시설,1966-08-31,인천광역시 서구청,032-560-4800,170185.2628,546451.7798,인천광역시 서구청,다목적구장->농구장 변경
34,28260-00002,원신공원,근린공원,테니스장,,서구,인천광역시 서구 신현동 산33일원,37.5154788,126.6631365,57685,"게이트볼장,테니스장,농구장","조합놀이대,회전놀이","주차장,화장실",,수경시설,1966-08-31,인천광역시 서구청,032-560-4800,170205.6399,546204.9432,인천광역시 서구청,다목적구장->농구장 변경
35,28260-00002,원신공원,근린공원,농구장,,서구,인천광역시 서구 신현동 산33일원,37.5154788,126.6631365,57685,"게이트볼장,테니스장,농구장","조합놀이대,회전놀이","주차장,화장실",,수경시설,1966-08-31,인천광역시 서구청,032-560-4800,170214.1049,546130.9159,인천광역시 서구청,다목적구장->농구장 변경
36,28260-00003,신촌공원,어린이공원,농구장,,서구,인천광역시 서구 석남동 521-1일원,37.5079641,126.6697133,6611.9,농구장,조합놀이대,화장실,,수경시설,1969-02-12,인천광역시 서구청,032-560-4800,170784.5603,545448.111,인천광역시 서구청,
37,28260-00004,석남체육공원,어린이공원,배드민턴장,,서구,인천광역시 서구 석남동 483일원,37.5103556,126.675024,10880,"배드민턴장,농구장,족구장","조합놀이대,그네",화장실,,,1969-02-12,인천광역시 서구청,032-560-4800,171264.1978,545749.9068,인천광역시 서구청,
38,28260-00004,석남체육공원,어린이공원,농구장,,서구,인천광역시 서구 석남동 483일원,37.5103556,126.675024,10880,"배드민턴장,농구장,족구장","조합놀이대,그네",화장실,,,1969-02-12,인천광역시 서구청,032-560-4800,171297.0614,545721.8137,인천광역시 서구청,
39,28260-00004,석남체육공원,어린이공원,족구장,,서구,인천광역시 서구 석남동 483일원,37.5103556,126.675024,10880,"배드민턴장,농구장,족구장","조합놀이대,그네",화장실,,,1969-02-12,인천광역시 서구청,032-560-4800,171296.5739,545694.0198,인천광역시 서구청,
40,28260-00005,서곶공원,근린공원,축구장,,서구,인천광역시 서구 연희동 산50일원,37.5466529,126.6804314,151333,"축구장,족구장,농구장,배드민턴장,인라인스케이트장","조합놀이대,그네","주차장,매점,화장실","도서관,야외무대",수경시설,1970-07-20,인천광역시 서구청,032-560-4800,171692.902,549878.0369,인천광역시 서구청,"배드민턴장,인라인스케이트장 추가"
41,28260-00005,서곶공원,근린공원,족구장,,서구,인천광역시 서구 연희동 산50일원,37.5466529,126.6804314,151333,"축구장,족구장,농구장,배드민턴장,인라인스케이트장","조합놀이대,그네","주차장,매점,화장실","도서관,야외무대",수경시설,1970-07-20,인천광역시 서구청,032-560-4800,171731.3721,549843.7869,인천광역시 서구청,"배드민턴장,인라인스케이트장 추가"
42,28260-00005,서곶공원,근린공원,농구장,,서구,인천광역시 서구 연희동 산50일원,37.5466529,126.6804314,151333,"축구장,족구장,농구장,배드민턴장,인라인스케이트장","조합놀이대,그네","주차장,매점,화장실","도서관,야외무대",수경시설,1970-07-20,인천광역시 서구청,032-560-4800,171652.5841,549917.1207,인천광역시 서구청,"배드민턴장,인라인스케이트장 추가"
43,28260-00006,건지공원,어린이공원,배드민턴장,,서구,인천광역시 서구 가좌동 198-11일원,37.493622,126.6792083,7988.4,배드민턴장,"조합놀이대,그네",화장실,,,1975-05-16,인천광역시 서구청,032-560-4800,171644.0903,543877.2101,인천광역시 서구청,
44,28260-00008,가좌울공원,어린이공원,족구장,인천광역시 서구 고래울로 35,서구,인천광역시 서구 가좌동 354일원,37.486735,126.6861606,1920,족구장,조합놀이대,화장실,,,1981-09-24,인천광역시 서구청,032-560-4800,172241.7572,543088.8546,인천광역시 서구청,
45,28260-00009,한신공원,어린이공원,농구장,,서구,인천광역시 서구 가좌동 397일원,37.4846322,126.6873944,3000.5,농구장,조합놀이대,화장실,,,1981-09-24,인천광역시 서구청,032-560-4800,172364.1915,542843.4044,인천광역시 서구청,
46,28260-00010,가좌공원,어린이공원,인라인스케이트장,인천광역시 서구 고래울로 12,서구,인천광역시 서구 가좌동 339일원,37.4877055,126.6841114,7280,인라인스케이트장,"조합놀이대,그네",화장실,,민방위급수시설,1981-09-24,인천광역시 서구청,032-560-4800,172080.848,543175.9732,인천광역시 서구청,
47,28260-00012,인천교공원,근린공원,테니스장,,서구,인천광역시 서구 가좌동 606-3일원,37.4771783,126.6715157,46821.2,테니스장,,주차장,,,1986-02-20,인천광역시 서구청,032-560-4800,171341.1473,541897.3329,인천광역시 서구청,
48,28260-00014,심곡공원,어린이공원,운동장,,서구,인천광역시 서구 심곡동 284일원,37.5443051,126.6807747,1500.2,"운동장,야외운동기구",조합놀이대,,,,1989-11-24,인천광역시 서구청,032-560-4800,171789.1815,549461.9141,인천광역시 서구청,야외운동기구 추가
49,28260-00015,탁옥공원,어린이공원,농구장,,서구,인천광역시 서구 심곡동 290-5일원,37.5449856,126.6833389,1502.9,농구장,조합놀이대,,,,1989-11-24,인천광역시 서구청,032-560-4800,172022.4031,549535.2536,인천광역시 서구청,
50,28260-00017,갈매공원,어린이공원,농구장,,서구,인천광역시 서구 공촌동 304일원,37.5527008,126.6847658,1682.6,"농구장,야외운동기구","조합놀이대,그네",,,,1989-11-24,인천광역시 서구청,032-560-4800,172162.8601,550401.1671,인천광역시 서구청,야외운동기구 추가
51,28260-00020,월촌공원,어린이공원,농구장,,서구,인천광역시 서구 연희동 698일원,37.5507274,126.6812468,2001.7,농구장,"조합놀이대,그네",,,,1989-11-24,인천광역시 서구청,032-560-4800,171823.4115,550181.1905,인천광역시 서구청,
52,28260-00022,새말공원,어린이공원,운동장,,서구,인천광역시 서구 심곡동 260일원,37.5413277,126.6754746,2104,"운동장,야외운동기구",조합놀이대,,,,1989-11-24,인천광역시 서구청,032-560-4800,171309.5098,549144.0177,인천광역시 서구청,야외운동기구 추가
53,28260-00026,절골공원,어린이공원,야외운동기구,,서구,인천광역시 서구 심곡동 292일원,37.5426548,126.682502,2451,야외운동기구,조합놀이대,,,,1989-11-24,인천광역시 서구청,032-560-4800,171961.8753,549299.3853,인천광역시 서구청,운동장->야외운동기구 변경
54,28260-00029,모통공원,어린이공원,농구장,,서구,인천광역시 서구 심곡동 301-3일원,37.5422294,126.6789722,3002.7,"농구장,야외운동기구",조합놀이대,,,,1989-11-24,인천광역시 서구청,032-560-4800,171646.325,549253.3441,인천광역시 서구청,야외운동기구 추가
55,28260-00035,서부산단공원,근린공원,족구장,,서구,인천광역시 서구 경서동 678일원,37.5554991,126.6396832,14801.3,"족구장,야외운동기구",,주차장,,,1993-06-19,인천광역시 서구청,032-560-4800,168155.2839,550713.3017,인천광역시 서구청,농구장->야외운동기구 변경
56,28260-00035,서부산단공원,근린공원,야외운동기구,,서구,인천광역시 서구 경서동 678일원,37.5554991,126.6396832,14801.3,"족구장,야외운동기구",,주차장,,,1993-06-19,인천광역시 서구청,032-560-4800,168175.7121,550729.1587,인천광역시 서구청,농구장->야외운동기구 변경
57,28260-00036,장모루공원,근린공원,배드민턴장,,서구,인천광역시 서구 검암동 594-2일원,37.5677459,126.6757858,5703.6,"배드민턴장,야외운동기구",,화장실,,수경시설,1993-09-28,인천광역시 서구청,032-560-4800,171293.7825,552058.1285,인천광역시 서구청,야외운동기구 추가
58,28260-00039,아랫말공원(경서4호),어린이공원,운동장,,서구,인천광역시 서구 경서동 760일원,37.5557117,126.6560555,2236.7,"운동장,야외운동기구",조합놀이대,,,,1993-09-28,인천광역시 서구청,032-560-4800,169621.2386,550753.2844,인천광역시 서구청,야외운동기구 추가
59,28260-00043,진포공원(경서1호),어린이공원,배드민턴장,,서구,인천광역시 서구 경서동 719-1일원,37.5606277,126.651839,2779.7,"배드민턴장,야외운동기구",조합놀이대,,,,1993-09-28,인천광역시 서구청,032-560-4800,169238.8776,551291.6113,인천광역시 서구청,야외운동기구 추가
60,28260-00046,중동공원,어린이공원,농구장,,서구,인천광역시 서구 검암동 613-5일원,37.5648375,126.677202,3973.8,"농구장,야외운동기구",조합놀이대,화장실,,수경시설,1993-09-28,인천광역시 서구청,032-560-4800,171463.7335,551730.643,인천광역시 서구청,야외운동기구 추가
61,28260-00047,빈정공원,어린이공원,운동장,,서구,인천광역시 서구 검암동 681일원,37.5555416,126.6720414,6983.5,"운동장,야외운동기구",조합놀이대,,,,1993-09-28,인천광역시 서구청,032-560-4800,171034.6515,550727.4298,인천광역시 서구청,야외운동기구 추가
62,28260-00049,능내공원,근린공원,축구장,인천광역시 서구 검단로 540번길 41,서구,인천광역시 서구 마전동 657-11일원,37.6009297,126.6672993,77340,축구장,,화장실,,,1995-11-17,인천광역시 서구청,032-560-4800,170622.7941,555754.7263,인천광역시 서구청,
63,28260-00053,검단1지구 1호 어린이공원,어린이공원,농구장,,서구,인천광역시 서구 마전동 907일원,37.6051075,126.6574502,4606.2,농구장,"조합놀이대,흔들놀이",,,,1995-11-17,인천광역시 서구청,032-560-4800,169744.5271,556231.6017,인천광역시 서구청,
64,28260-00057,왕길공원,근린공원,농구장,인천광역시 서구 검단로 427,서구,인천광역시 서구 왕길동 649-4일원,37.6005047,126.651603,11686.4,농구장,조합놀이대,화장실,,,1996-10-23,인천광역시 서구청,032-560-4800,169193.0908,555738.6074,인천광역시 서구청,족구장->농구장 변경
65,28260-00058,종다리공원,어린이공원,농구장,,서구,인천광역시 서구 왕길동 641-13일원,37.6013887,126.6541296,2948.1,농구장,조합놀이대,,,,1996-10-23,인천광역시 서구청,032-560-4800,169455.9393,555848.4409,인천광역시 서구청,
66,28260-00063,금호공원(오류지구 어린이공원),어린이공원,농구장,,서구,인천광역시 서구 오류동 760-3일원,37.5972915,126.6412497,3334.5,농구장,조합놀이대,,,,1999-06-23,인천광역시 서구청,032-560-4800,168310.1979,555370.5063,인천광역시 서구청,
67,28260-00069,원당지구 1호공원,근린공원,게이트볼장,,서구,인천광역시 서구 원당동 811-2,37.5955489,126.6917825,18321.3,"게이트볼장,야외운동기구",조합놀이대,화장실,,,1999-06-23,인천광역시 서구청,032-560-4800,172663.1832,555049.186,인천광역시 서구청,야외운동기구 추가
68,28260-00075,당하지구3호 어린이공원,어린이공원,야외운동기구,,서구,인천광역시 서구 당하동 1099-4일원,37.5907968,126.6786075,2163.5,야외운동기구,조합놀이대,,,,1999-06-23,인천광역시 서구청,032-560-4800,171638.1549,554656.0941,인천광역시 서구청,농구장->야외운동기구 변경
