일련번호,관리번호,공원명,공원유형,시설명,소재지도로명주소,군구명,소재지지번주소,위도,경도,공원면적,주민운동시설,유희시설,편의시설,교양시설,기타시설,고시일,관리기관명,전화번호,X좌표,Y좌표,출처,비고
69,28260-00086,신석체육공원,체육공원,축구장,,서구,인천광역시 서구 석남동 222일원,37.5075811,126.6653466,33694,"축구장,족구장,풋살장,농구장",,,,,1999-09-20,인천광역시 서구청,032-560-4800,170381.6443,545386.6709,인천광역시 서구청,
70,28260-00086,신석체육공원,체육공원,족구장,,서구,인천광역시 서구 석남동 222일원,37.5075811,126.6653466,33694,"축구장,족구장,풋살장,농구장",,,,,1999-09-20,인천광역시 서구청,032-560-4800,170378.2244,545483.0874,인천광역시 서구청,
71,28260-00086,신석체육공원,체육공원,풋살장,,서구,인천광역시 서구 석남동 222일원,37.5075811,126.6653466,33694,"축구장,족구장,풋살장,농구장",,,,,1999-09-20,인천광역시 서구청,032-560-4800,170377.5829,545513.1607,인천광역시 서구청,
72,28260-00086,신석체육공원,체육공원,농구장,,서구,인천광역시 서구 석남동 222일원,37.5075811,126.6653466,33694,"축구장,족구장,풋살장,농구장",,,,,1999-09-20,인천광역시 서구청,032-560-4800,170379.4999,545452.2674,인천광역시 서구청,
73,28260-00088,진주체육공원,체육공원,배드민턴장,,서구,인천광역시 서구 가좌동 30-130일원,37.4913746,126.6809571,9106,"배드민턴장,테니스장,농구장",조합놀이대,화장실,,,2000-07-05,인천광역시 서구청,032-560-4800,171775.9039,543577.1105,인천광역시 서구청,"농구장,야외운동기구 추가"
74,28260-00088,진주체육공원,체육공원,테니스장,,서구,인천광역시 서구 가좌동 30-130일원,37.4913746,126.6809571,9106,"배드민턴장,테니스장,농구장",조합놀이대,화장실,,,2000-07-05,인천광역시 서구청,032-560-4800,171811.2023,543583.915,인천광역시 서구청,"농구장,야외운동기구 추가"
75,28260-00089,가좌공원,근린공원,게이트볼장,인천광역시 서구 장고개로 287번길 25,서구,인천광역시 서구 가좌동 219일원,37.4881823,126.6806996,8939,게이트볼장,조합놀이대,화장실,,,2000-07-05,인천광역시 서구청,032-560-4800,171806.831,543266.476,인천광역시 서구청,
76,28260-00090,당하어린이공원,어린이공원,농구장,,서구,인천광역시 서구 당하동 1067-4일원,37.5842079,126.6791439,1800,농구장,조합놀이대,,,,2002-11-13,인천광역시 서구청,032-560-4800,171659.0991,553910.6392,인천광역시 서구청,야외운동기구 추가
77,28260-00091,감중공원,어린이공원,족구장,,서구,인천광역시 서구 가좌동 157일원,37.4928388,126.6738439,5572,족구장,조합놀이대,화장실,,수경시설,2004-08-04,인천광역시 서구청,032-560-4800,171141.9397,543768.9539,인천광역시 서구청,"농구장,야외운동기구 추가"
78,28260-00092,청라1호공원,근린공원,족구장,,서구,인천광역시 서구 경서동 673-19일원,37.5316546,126.6033661,10000.1,"족구장,배드민턴장",,,,,2005-04-19,인천광역시 서구청,032-560-4800,164980.5548,548127.2954,인천광역시 서구청,
79,28260-00092,청라1호공원,근린공원,배드민턴장,,서구,인천광역시 서구 경서동 673-19일원,37.5316546,126.6033661,10000.1,"족구장,배드민턴장",,,,,2005-04-19,인천광역시 서구청,032-560-4800,164961.672,548134.3942,인천광역시 서구청,
80,28260-00093,경서근린공원,근린공원,농구장,,서구,인천광역시 서구 경서동 996일원,37.5566388,126.6687691,21935.2,"농구장,배드민턴장",조합놀이대,화장실,,수경시설,2007-11-06,인천광역시 서구청,032-560-4800,170796.5696,550835.8263,인천광역시 서구청,배드민턴장 추가
81,28260-00094,반월공원(나),근린공원,족구장,,서구,인천광역시 서구 오류동 1656-4번지,37.5944608,126.6169703,10970.2,"족구장,농구장",,화장실,,,2008-12-29,인천광역시 서구청,032-560-4800,166166.2415,555068.0863,인천광역시 서구청,농구장 추가
82,28260-00095,한들방죽공원(라),근린공원,다목적구장,,서구,인천광역시 서구 오류동 1665-2번지,37.5904312,126.621691,10869.3,다목적구장,,,,,2008-12-29,인천광역시 서구청,032-560-4800,166626.9163,554603.0919,인천광역시 서구청,
83,28260-00098,경서1공원(아라뱃길 물류단지),근린공원,다목적구장,,서구,인천광역시 서구 오류동 1579-1번지 일원,37.5616568,126.618762,13213.5,다목적구장,,화장실,,,2010-04-16,인천광역시 서구청,032-560-4800,166375.8261,551414.8371,인천광역시 서구청,
84,28260-00099,경서2공원(아라뱃길 물류단지),근린공원,다목적구장,,서구,인천광역시 서구 오류동 1545-4번지 일원,37.5662322,126.6102433,20176.5,"다목적구장,야외운동기구",,화장실,,,2010-04-16,인천광역시 서구청,032-560-4800,165567.9739,551901.0876,인천광역시 서구청,야외운동기구 추가
85,28260-00107,버들 어린이공원,어린이공원,농구장,,서구,인천광역시 서구 왕길동 538-1일원,37.595716,126.6366,2066.1,농구장,조합놀이대,,,,2017-04-10,인천광역시 서구청,032-560-4804,167950.2321,555220.2569,인천광역시 서구청,
86,28260-00109,율도공원(2호),근린공원,족구장,,서구,인천광역시 서구 원창동 485-5일원,37.508534,126.623886,76368.2,"족구장,축구장",,"화장실,주차장",,,2012-01-16,인천광역시 서구청,032-560-4804,166854.6224,545636.2387,인천광역시 서구청,
87,28260-00109,율도공원(2호),근린공원,축구장,,서구,인천광역시 서구 원창동 485-5일원,37.508534,126.623886,76368.2,"족구장,축구장",,"화장실,주차장",,,2012-01-16,인천광역시 서구청,032-560-4804,166794.9365,545534.9995,인천광역시 서구청,
88,28260-00112,늘푸른공원,근린공원,배드민턴장,서구 국제대로 29 ,서구,인천광역시 서구 청라동 8-126,37.539229,126.662999,43329.7,"배드민턴장,게이트볼장",조합놀이대,화장실,,수경시설,2006-11-21,인천광역시 서구청,032-560-4805,167209.2304,549251.606,인천광역시 서구청,
89,28260-00112,늘푸른공원,근린공원,게이트볼장,서구 국제대로 29 ,서구,인천광역시 서구 청라동 8-126,37.539229,126.662999,43329.7,"배드민턴장,게이트볼장",조합놀이대,화장실,,수경시설,2006-11-21,인천광역시 서구청,032-560-4805,167090.8702,549250.9236,인천광역시 서구청,
90,28260-00113,사염공원,근린공원,배드민턴장,서구 국제대로 121,서구,인천광역시 서구 청라동 9-92,37.5542867,126.65057,85351.8,"배드민턴장,인라인스케이트장,풋살장",,화장실,,,2006-11-21,인천광역시 서구청,032-560-4805,168770.2192,549218.3768,인천광역시 서구청,풋살장 추가
91,28260-00113,사염공원,근린공원,인라인스케이트장,서구 국제대로 121,서구,인천광역시 서구 청라동 9-92,37.5542867,126.65057,85351.8,"배드민턴장,인라인스케이트장,풋살장",,화장실,,,2006-11-21,인천광역시 서구청,032-560-4805,168724.1235,549226.2044,인천광역시 서구청,풋살장 추가
92,28260-00114,연일공원,근린공원,농구장,서구 국제대로 277,서구,인천광역시 서구 청라동 116-1,37.540644,126.658691,30552.7,"농구장,배드민턴장",,,,수경시설,2006-11-21,인천광역시 서구청,032-560-4805,169594.5989,549077.3442,인천광역시 서구청,
93,28260-00114,연일공원,근린공원,배드민턴장,서구 국제대로 277,서구,인천광역시 서구 청라동 116-1,37.540644,126.658691,30552.7,"농구장,배드민턴장",,,,수경시설,2006-11-21,인천광역시 서구청,032-560-4805,169572.3704,549076.5115,인천광역시 서구청,
94,28260-00115,문점공원,근린공원,농구장,서구 청라사파이어로 96,서구,인천광역시 서구 청라동 105-151,37.522964,126.628041,12814.9,"농구장,배드민턴장",,화장실,,,2006-11-21,인천광역시 서구청,032-560-4805,167168.5736,547143.7241,인천광역시 서구청,
95,28260-00115,문점공원,근린공원,배드민턴장,서구 청라사파이어로 96,서구,인천광역시 서구 청라동 105-151,37.522964,126.628041,12814.9,"농구장,배드민턴장",,화장실,,,2006-11-21,인천광역시 서구청,032-560-4805,167157.3719,547139.8532,인천광역시 서구청,
96,28260-00116,포리공원,근린공원,배드민턴장,서구 청라커낼로 199,서구,인천광역시 서구 청라동 178-6,37.527677,126.642737,14216.2,배드민턴장,조합놀이대,화장실,,,2006-11-21,인천광역시 서구청,032-560-4805,168309.3219,547672.7806,인천광역시 서구청,
97,28260-00119,까투렴공원,근린공원,농구장,서구 첨단동로 344 ,서구,인천광역시 서구 청라동 8-129,37.544908,126.622198,21210.1,"농구장,배드민턴장",,화장실,,,2006-11-21,인천광역시 서구청,032-560-4805,166546.2391,549460.5314,인천광역시 서구청,"배드민턴장->족구장 변경,풋살장 추가"
98,28260-00119,까투렴공원,근린공원,족구장,서구 첨단동로 344 ,서구,인천광역시 서구 청라동 8-129,37.544908,126.622198,21210.1,"농구장,배드민턴장",,화장실,,,2006-11-21,인천광역시 서구청,032-560-4805,166560.0247,549496.1245,인천광역시 서구청,"배드민턴장->족구장 변경,풋살장 추가"
99,28260-00005,서곶공원,근린공원,배드민턴장,,서구,인천광역시 서구 연희동 산50일원,37.5466529,126.6804314,151333,"축구장,족구장,농구장,배드민턴장,인라인스케이트장","조합놀이대,그네","주차장,매점,화장실","도서관,야외무대",수경시설,1970-07-20,인천광역시 서구청,032-560-4800,171581.1949,549600.4247,인천광역시 서구청,"배드민턴장,인라인스케이트장 추가"
100,28260-00005,서곶공원,근린공원,인라인스케이트장,,서구,인천광역시 서구 연희동 산50일원,37.5466529,126.6804314,151333,"축구장,족구장,농구장,배드민턴장,인라인스케이트장","조합놀이대,그네","주차장,매점,화장실","도서관,야외무대",수경시설,1970-07-20,인천광역시 서구청,032-560-4800,171673.2943,549676.7451,인천광역시 서구청,"배드민턴장,인라인스케이트장 추가"
101,28260-00014,심곡공원,어린이공원,야외운동기구,,서구,인천광역시 서구 심곡동 284일원,37.5443051,126.6807747,1500.2,"운동장,야외운동기구",조합놀이대,,,,1989-11-24,인천광역시 서구청,032-560-4800,171804.0052,549461.5959,인천광역시 서구청,야외운동기구 추가
102,28260-00014,심곡공원,어린이공원,야외운동기구,,서구,인천광역시 서구 심곡동 284일원,37.5443051,126.6807747,1500.2,"운동장,야외운동기구",조합놀이대,,,,1989-11-24,인천광역시 서구청,032-560-4800,171784.4287,549484.6512,인천광역시 서구청,야외운동기구 추가
103,28260-00017,갈매공원,어린이공원,야외운동기구,,서구,인천광역시 서구 공촌동 304일원,37.5527008,126.6847658,1682.6,"농구장,야외운동기구","조합놀이대,그네",,,,1989-11-24,인천광역시 서구청,032-560-4800,172149.6312,550415.1512,인천광역시 서구청,야외운동기구 추가
104,28260-00022,새말공원,어린이공원,야외운동기구,,서구,인천광역시 서구 심곡동 260일원,37.5413277,126.6754746,2104,"운동장,야외운동기구",조합놀이대,,,,1989-11-24,인천광역시 서구청,032-560-4800,171312.5141,549156.4208,인천광역시 서구청,야외운동기구 추가
105,28260-00029,모통공원,어린이공원,야외운동기구,,서구,인천광역시 서구 심곡동 301-3일원,37.5422294,126.6789722,3002.7,"농구장,야외운동기구",조합놀이대,,,,1989-11-24,인천광역시 서구청,032-560-4800,171644.72,549231.6319,인천광역시 서구청,야외운동기구 추가
106,28260-00036,장모루공원,근린공원,야외운동기구,,서구,인천광역시 서구 검암동 594-2일원,37.5677459,126.6757858,5703.6,"배드민턴장,야외운동기구",,화장실,,수경시설,1993-09-28,인천광역시 서구청,032-560-4800,171298.9703,552053.1272,인천광역시 서구청,야외운동기구 추가
107,28260-00039,아랫말공원(경서4호),어린이공원,야외운동기구,,서구,인천광역시 서구 경서동 760일원,37.5557117,126.6560555,2236.7,"운동장,야외운동기구",조합놀이대,,,,1993-09-28,인천광역시 서구청,032-560-4800,169620.6196,550745.2746,인천광역시 서구청,야외운동기구 추가
108,28260-00043,진포공원(경서1호),어린이공원,야외운동기구,,서구,인천광역시 서구 경서동 719-1일원,37.5606277,126.651839,2779.7,"배드민턴장,야외운동기구",조합놀이대,,,,1993-09-28,인천광역시 서구청,032-560-4800,169229.3551,551290.502,인천광역시 서구청,야외운동기구 추가
109,28260-00046,중동공원,어린이공원,야외운동기구,,서구,인천광역시 서구 검암동 613-5일원,37.5648375,126.677202,3973.8,"농구장,야외운동기구",조합놀이대,화장실,,수경시설,1993-09-28,인천광역시 서구청,032-560-4800,171486.9436,551721.1057,인천광역시 서구청,야외운동기구 추가
110,28260-00047,빈정공원,어린이공원,야외운동기구,,서구,인천광역시 서구 검암동 681일원,37.5555416,126.6720414,6983.5,"운동장,야외운동기구",조합놀이대,-,,,1993-09-28,인천광역시 서구청,032-560-4800,171056.7363,550755.2857,인천광역시 서구청,야외운동기구 추가
111,28260-00069,원당지구 1호공원,근린공원,야외운동기구,,서구,인천광역시 서구 원당동 811-2,37.5955489,126.6917825,18321.3,"게이트볼장,야외운동기구",조합놀이대,화장실,,,1999-06-23,인천광역시 서구청,032-560-4800,172677.1934,555042.5907,인천광역시 서구청,야외운동기구 추가
112,28260-00088,진주체육공원,체육공원,농구장,,서구,인천광역시 서구 가좌동 30-130일원,37.4913746,126.6809571,9106,"배드민턴장,테니스장,농구장",조합놀이대,화장실,,,2000-07-05,인천광역시 서구청,032-560-4800,171779.417,543613.3108,인천광역시 서구청,"농구장,야외운동기구 추가"
113,28260-00088,진주체육공원,체육공원,야외운동기구,,서구,인천광역시 서구 가좌동 30-130일원,37.4913746,126.6809571,9106,"배드민턴장,테니스장,농구장",조합놀이대,화장실,,,2000-07-05,인천광역시 서구청,032-560-4800,171781.842,543635.1332,인천광역시 서구청,"농구장,야외운동기구 추가"
114,28260-00090,당하어린이공원,어린이공원,야외운동기구,,서구,인천광역시 서구 당하동 1067-4일원,37.5842079,126.6791439,1800,농구장,조합놀이대,,,,2002-11-13,인천광역시 서구청,032-560-4800,171665.0879,553919.2466,인천광역시 서구청,야외운동기구 추가
115,28260-00091,감중공원,어린이공원,농구장,,서구,인천광역시 서구 가좌동 157일원,37.4928388,126.6738439,5572,족구장,조합놀이대,화장실,,수경시설,2004-08-04,인천광역시 서구청,032-560-4800,171134.0548,543778.4404,인천광역시 서구청,"농구장,야외운동기구 추가"
116,28260-00091,감중공원,어린이공원,야외운동기구,,서구,인천광역시 서구 가좌동 157일원,37.4928388,126.6738439,5572,족구장,조합놀이대,화장실,,수경시설,2004-08-04,인천광역시 서구청,032-560-4800,171128.1275,543738.2835,인천광역시 서구청,"농구장,야외운동기구 추가"
117,28260-00093,경서근린공원,근린공원,배드민턴장,,서구,인천광역시 서구 경서동 996일원,37.5566388,126.6687691,21935.2,"농구장,배드민턴장",조합놀이대,화장실,,수경시설,2007-11-06,인천광역시 서구청,032-560-4800,170810.5471,550835.3713,인천광역시 서구청,배드민턴장 추가
118,28260-00094,반월공원(나),근린공원,농구장,,서구,인천광역시 서구 오류동 1656-4번지,37.5944608,126.6169703,10970.2,"족구장,농구장",,화장실,,,2008-12-29,인천광역시 서구청,032-560-4800,166195.186,555100.0017,인천광역시 서구청,농구장 추가
119,28260-00099,경서2공원(아라뱃길 물류단지),근린공원,야외운동기구,,서구,인천광역시 서구 오류동 1545-4번지 일원,37.5662322,126.6102433,20176.5,"다목적구장,야외운동기구",,화장실,,,2010-04-16,인천광역시 서구청,032-560-4800,165589.8233,551873.6775,인천광역시 서구청,야외운동기구 추가
120,28260-00109,율도공원(2호),근린공원,축구장,,서구,인천광역시 서구 원창동 485-5일원,37.508534,126.623886,76368.2,"족구장,축구장",,"화장실,주차장",,,2012-01-16,인천광역시 서구청,032-560-4804,166794.8266,545388.1828,인천광역시 서구청,
121,28260-00113,사염공원,근린공원,풋살장,서구 국제대로 121,서구,인천광역시 서구 청라동 9-92,37.5542867,126.65057,85351.8,"배드민턴장,인라인스케이트장,풋살장",,화장실,,,2006-11-21,인천광역시 서구청,032-560-4805,168743.7063,549226.8379,인천광역시 서구청,풋살장 추가
122,28260-00119,까투렴공원,근린공원,풋살장,서구 첨단동로 344 ,서구,인천광역시 서구 청라동 8-129,37.544908,126.622198,21210.1,"농구장,배드민턴장",,화장실,,,2006-11-21,인천광역시 서구청,032-560-4805,166576.8637,549564.7655,인천광역시 서구청,"배드민턴장->족구장 변경,풋살장 추가"
123,28245-00003,용종5공원,소공원,야외운동기구,인천광역시 계양구 용마루1길 2(용종동),계양구,인천광역시 계양구 용종동 224,37.542922,126.742799,360.3,야외운동기구,,,,,2018-01-22,인천광역시 계양구청,032-450-5663,177277.8145,549332.2475,인천광역시 계양구청,
124,28245-00004,살나리공원,소공원,야외운동기구,,계양구,인천광역시 계양구 서운동 93-2,37.537899,126.745138,669,야외운동기구,,,,,2018-01-22,인천광역시 계양구청,032-450-5663,177472.4125,548746.7673,인천광역시 계양구청,
125,28245-00005,하야공원,소공원,야외운동기구,,계양구,인천광역시 계양구 하야동 64-29,37.583244,126.781076,360,야외운동기구,,,,,2010-03-22,인천광역시 계양구청,032-450-5663,180655.1859,553775.6093,인천광역시 계양구청,
126,28245-00006,계산공원,체육공원,축구장,인천광역시 계양구 주부토로570,계양구,인천광역시 계양구 계산동 907-1,37.544961,126.728714,22280,"인조잔디구장,게이트볼장,야외운동기구,농구장","그네,조합놀이대,흔들놀이기구",화장실,,,1994-01-08,인천광역시 계양구청,032-450-5663,176117.2592,549498.3365,인천광역시 계양구청,농구장 추가
127,28245-00006,계산공원,체육공원,게이트볼장,인천광역시 계양구 주부토로570,계양구,인천광역시 계양구 계산동 907-1,37.544961,126.728714,22280,"인조잔디구장,게이트볼장,야외운동기구,농구장","그네,조합놀이대,흔들놀이기구",화장실,,,1994-01-08,인천광역시 계양구청,032-450-5663,176031.0702,549480.1446,인천광역시 계양구청,농구장 추가
128,28245-00006,계산공원,체육공원,야외운동기구,인천광역시 계양구 주부토로570,계양구,인천광역시 계양구 계산동 907-1,37.544961,126.728714,22280,"인조잔디구장,게이트볼장,야외운동기구,농구장","그네,조합놀이대,흔들놀이기구",화장실,,,1994-01-08,인천광역시 계양구청,032-450-5663,176050.984,549567.8597,인천광역시 계양구청,농구장 추가
129,28245-00007,다남공원,체육공원,국궁장,인천광역시 계양구 다남로165번길71,계양구,인천광역시 계양구 다남동 42-8,37.565039,126.720102,18827,"국궁장,게이트볼장",-,화장실,,,2000-07-04,인천광역시 계양구청,032-450-5663,175242.6571,551703.5413,인천광역시 계양구청,
130,28245-00007,다남공원,체육공원,게이트볼장,인천광역시 계양구 다남로165번길71,계양구,인천광역시 계양구 다남동 42-8,37.565039,126.720102,18827,"국궁장,게이트볼장",-,화장실,,,2000-07-04,인천광역시 계양구청,032-450-5663,175291.2662,551822.309,인천광역시 계양구청,
131,28245-00008,작전공원,체육공원,인라인스케이트장,인천광역시 계양구 계양문화로1,계양구,인천광역시 계양구 작전동 902,37.530959,126.735766,7458.5,"인라인스케이트장,농구장",-,화장실,야외공연장,벽천분수,2001-10-22,인천광역시 계양구청,032-450-5663,176622.743,547985.5764,인천광역시 계양구청,야외운동기구->농구장 변경
132,28245-00008,작전공원,체육공원,농구장,인천광역시 계양구 계양문화로1,계양구,인천광역시 계양구 작전동 902,37.530959,126.735766,7458.5,"인라인스케이트장,농구장",-,화장실,야외공연장,벽천분수,2001-10-22,인천광역시 계양구청,032-450-5663,176563.9146,547976.7033,인천광역시 계양구청,야외운동기구->농구장 변경
133,28245-00009,오조산공원,근린공원,야외운동기구,인천광역시 계양구 오조산공원로33,계양구,인천광역시 계양구 용종동 208,37.540389,126.744936,18314.4,야외운동기구,"그네,조합놀이대",화장실,,바닥분수,1992-12-18,인천광역시 계양구청,032-450-5663,176783.1471,549019.2841,인천광역시 계양구청,
134,28245-00010,계양교통공원,근린공원,다목적운동장,인천광역시 계양구 용종로38,계양구,인천광역시 계양구 계산동 1085-1,37.537155,126.741794,21091.5,"다목적운동장,야외운동기구","그네,조합놀이대",화장실,어린이교통교육관,"육교,횡단보도등",1992-12-18,인천광역시 계양구청,032-450-5663,177309.4745,548655.7131,인천광역시 계양구청,
135,28245-00011,까치공원,근린공원,야외운동기구,인천광역시 계양구 오조산로21번길4,계양구,인천광역시 계양구 작전동 908,37.530655,126.730753,17043.9,야외운동기구,-,화장실,도서관,바닥분수,1992-12-18,인천광역시 계양구청,032-450-5663,176811.468,548258.2409,인천광역시 계양구청,
136,28245-00012,서운공원,근린공원,풋살장,인천광역시 계양구 효서로397,계양구,인천광역시 계양구 작전동 915-2,37.527736,126.740479,12822.4,"인조잔디구장,야외운동기구",조합놀이대,화장실,,,1992-12-18,인천광역시 계양구청,032-450-5663,177140.4868,547649.267,인천광역시 계양구청,
137,28245-00012,서운공원,근린공원,야외운동기구,인천광역시 계양구 효서로397,계양구,인천광역시 계양구 작전동 915-2,37.527736,126.740479,12822.4,"인조잔디구장,야외운동기구",조합놀이대,화장실,,,1992-12-18,인천광역시 계양구청,032-450-5663,177043.2811,547681.9412,인천광역시 계양구청,
138,28245-00013,된밭공원,근린공원,야외운동기구,인천광역시 계양구 주부토로 426번길5,계양구,인천광역시 계양구 작전동 53-9일원,37.530655,126.730753,11655,야외운동기구,"그네,조합놀이대",화장실,,바닥분수,1944-01-08,인천광역시 계양구청,032-450-5663,176013.3275,548163.1062,인천광역시 계양구청,
139,28245-00015,이촌공원,근린공원,야외운동기구,인천광역시 계양구 안남로606,계양구,인천광역시 계양구 효성동 산18,37.536417,126.712576,22810,"야외운동기구,다목적구장","그네,시소,조합놀이대",화장실,,,1944-01-08,인천광역시 계양구청,032-450-5663,174551.903,548552.2429,인천광역시 계양구청,다목적구장 추가
140,28245-00016,갈개공원,근린공원,야외운동기구,,계양구,인천광역시 계양구 작전동 750일원,37.535623,126.720248,7437,야외운동기구,"시소,흔들놀이기구",-,,,1985-05-16,인천광역시 계양구청,032-450-5663,175282.2074,548495.4376,인천광역시 계양구청,
141,28245-00017,효성공원,어린이공원,축구장,인천광역시 계양구 새벌로111번길7,계양구,인천광역시 계양구 효성동 223,37.526696,126.715615,10877,"인조잔디구장,야외운동기구,농구장","그네,조합놀이대",화장실,,,1990-12-28,인천광역시 계양구청,032-450-5663,174897.8504,547434.306,인천광역시 계양구청,농구장 추가
142,28245-00017,효성공원,어린이공원,야외운동기구,인천광역시 계양구 새벌로111번길7,계양구,인천광역시 계양구 효성동 223,37.526696,126.715615,10877,"인조잔디구장,야외운동기구,농구장","그네,조합놀이대",화장실,,,1990-12-28,인천광역시 계양구청,032-450-5663,174933.9733,547494.8364,인천광역시 계양구청,농구장 추가
143,28245-00018,작전공원,어린이공원,축구장,인천광역시 계양구 아나지로307번길1,계양구,인천광역시 계양구 작전동 414,37.526187,126.7256904,9427.1,"인조잔디구장,야외운동기구,배드민턴장,농구장","그네,조합놀이대",화장실,,,1990-12-28,인천광역시 계양구청,032-450-5663,175748.7548,547436.2384,인천광역시 계양구청,"배드민턴장,농구장 추가"
144,28245-00018,작전공원,어린이공원,야외운동기구,인천광역시 계양구 아나지로307번길1,계양구,인천광역시 계양구 작전동 414,37.526187,126.7256904,9427.1,"인조잔디구장,야외운동기구,배드민턴장,농구장","그네,조합놀이대",화장실,,,1990-12-28,인천광역시 계양구청,032-450-5663,175762.5984,547398.6324,인천광역시 계양구청,"배드민턴장,농구장 추가"
145,28245-00019,부일공원,어린이공원,야외운동기구,,계양구,인천광역시 계양구 계산동 930-1,37.541222,126.727205,1171.3,야외운동기구,"그네,조합놀이대",-,,,1980-04-02,인천광역시 계양구청,032-450-5663,175531.955,549500.9644,인천광역시 계양구청,
